Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,"22pF","Capacitor_SMD:C_0805_2012Metric","~"
C3 C4 C5 C6 C7 ,5,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~"
C8 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric","~"
D1 D2 D3 D5 D4 D6 D7 D9 D8 D10 D11 D12 D13 D14 D15 D17 D16 D18 D19 D21 D20 D22 D23 D24 D25 D26 D27 D29 D28 D30 D31 D33 D32 D34 D35 D36 D37 D38 D39 D41 D40 D42 D44 D43 D45 D46 D47 ,47,"D","keyboard_parts:D_SOD123_axial","~"
J1 ,1,"USB_C_Receptacle_USB2.0","Type-C:USB_C_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 K13 K14 K15 K16 K17 K18 K19 K20 K21 K22 K23 K25 K26 K27 K28 K29 K30 K31 K32 K33 K34 K35 K36 K37 K38 K39 K40 K41 K43 K44 K45 K46 K47 K24 ,46,"KEYSW","keebs:Mx_Alps_100",""
K42 ,1,"KEYSW","keebs:Mx_Alps_200",""
R1 R2 ,2,"10k","Resistor_SMD:R_0805_2012Metric","~"
R3 R4 ,2,"22","Resistor_SMD:R_0805_2012Metric","~"
SW1 ,1,"SW_PUSH","Button_Switch_SMD:SW_SPST_TL3342",""
U1 ,1,"ATMEGA32U4","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
X1 ,1,"XTAL","keyboard_parts:XTAL_HC_49_TH",""
